koi,sig_tt_min,s_oc_min,pval,source
341.01,7.57,14.08,-4.0,Holczer+2016_J/ApJS/225/9_table4
341.02,16.09,34.95,-13.2,Holczer+2016_J/ApJS/225/9_table4
343.01,7.53,7.05,-0.0,Holczer+2016_J/ApJS/225/9_table4
343.02,14.67,14.22,0.0,Holczer+2016_J/ApJS/225/9_table4
344.01,4.21,3.89,-0.0,Holczer+2016_J/ApJS/225/9_table4
345.01,3.04,11.68,-16.,Holczer+2016_J/ApJS/225/9_table4
346.01,5.14,4.49,-0.0,Holczer+2016_J/ApJS/225/9_table4
348.01,3.20,4.48,-0.2,Holczer+2016_J/ApJS/225/9_table4
349.01,7.02,7.15,-0.0,Holczer+2016_J/ApJS/225/9_table4
350.01,11.42,29.79,-16.,Holczer+2016_J/ApJS/225/9_table4
351.03,10.46,15.10,-0.3,Holczer+2016_J/ApJS/225/9_table4
351.04,15.85,18.76,-0.1,Holczer+2016_J/ApJS/225/9_table4
352.01,15.33,15.61,-0.0,Holczer+2016_J/ApJS/225/9_table4
353.01,1.41,2.75,-1.1,Holczer+2016_J/ApJS/225/9_table4
353.02,15.85,22.40,-0.2,Holczer+2016_J/ApJS/225/9_table4
354.01,8.25,9.08,-0.0,Holczer+2016_J/ApJS/225/9_table4
354.02,32.16,46.81,-0.2,Holczer+2016_J/ApJS/225/9_table4
355.01,9.90,9.78,-0.0,Holczer+2016_J/ApJS/225/9_table4
356.01,4.00,4.28,0.0,Holczer+2016_J/ApJS/225/9_table4
361.01,18.53,22.00,-0.0,Holczer+2016_J/ApJS/225/9_table4
365.01,2.45,2.97,-0.1,Holczer+2016_J/ApJS/225/9_table4
366.01,0.65,1.32,-1.8,Holczer+2016_J/ApJS/225/9_table4
367.01,0.64,0.71,-0.0,Holczer+2016_J/ApJS/225/9_table4
368.01,0.29,0.43,-0.4,Holczer+2016_J/ApJS/225/9_table4
369.01,18.69,15.53,-0.0,Holczer+2016_J/ApJS/225/9_table4
369.02,18.76,16.93,-0.0,Holczer+2016_J/ApJS/225/9_table4
370.01,6.60,9.07,-0.2,Holczer+2016_J/ApJS/225/9_table4
370.02,17.63,18.46,-0.0,Holczer+2016_J/ApJS/225/9_table4
372.01,0.44,10.17,-16.,Holczer+2016_J/ApJS/225/9_table4
373.01,4.31,7.80,-0.9,Holczer+2016_J/ApJS/225/9_table4
374.01,3.70,18.52,-13.8,Holczer+2016_J/ApJS/225/9_table4
377.01,1.06,513.08,-16.,Holczer+2016_J/ApJS/225/9_table4
377.02,1.19,934.28,-16.,Holczer+2016_J/ApJS/225/9_table4
384.01,19.36,22.39,-0.0,Holczer+2016_J/ApJS/225/9_table4
385.01,15.95,14.78,-0.0,Holczer+2016_J/ApJS/225/9_table4
386.01,7.13,5.04,-0.0,Holczer+2016_J/ApJS/225/9_table4
386.02,9.64,10.06,-0.0,Holczer+2016_J/ApJS/225/9_table4
387.01,3.84,3.16,-0.0,Holczer+2016_J/ApJS/225/9_table4
388.01,17.83,18.32,-0.0,Holczer+2016_J/ApJS/225/9_table4
392.01,26.72,33.85,-0.1,Holczer+2016_J/ApJS/225/9_table4
393.01,22.29,20.00,-0.0,Holczer+2016_J/ApJS/225/9_table4
398.01,1.36,2.95,-3.2,Holczer+2016_J/ApJS/225/9_table4
398.02,6.48,7.00,-0.0,Holczer+2016_J/ApJS/225/9_table4
398.03,24.09,23.04,0.0,Holczer+2016_J/ApJS/225/9_table4
401.01,2.99,3.15,-0.0,Holczer+2016_J/ApJS/225/9_table4
401.02,5.82,3.28,-0.0,Holczer+2016_J/ApJS/225/9_table4
401.03,28.14,39.76,-0.2,Holczer+2016_J/ApJS/225/9_table4
403.01,4.20,3.43,-0.0,Holczer+2016_J/ApJS/225/9_table4
408.01,6.30,8.68,-0.1,Holczer+2016_J/ApJS/225/9_table4
408.02,10.37,8.87,-0.0,Holczer+2016_J/ApJS/225/9_table4
408.03,15.84,17.48,-0.0,Holczer+2016_J/ApJS/225/9_table4
409.01,8.94,11.29,-0.0,Holczer+2016_J/ApJS/225/9_table4
