kepoi_name,kepid,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_incl,koi_steff,koi_slogg,koi_srad,koi_smass
"K00152.03",8394721,"Kepler-79 b","CONFIRMED","CANDIDATE",1.0000,13.48457668,136.61808,0.011,5.0197,653.5,3.39,0.1146,89.97,6198.00,4.237,1.3240,1.1010
"K00148.02",5735762,"Kepler-48 c","CONFIRMED","CANDIDATE",1.0000,9.673958488,125.339418,0.194,3.2641,952.7,2.63,0.0845,89.51,5192.00,4.489,0.8730,0.8560
"K00148.03",5735762,"Kepler-48 d","CONFIRMED","CANDIDATE",0.9980,42.89645024,146.0613,0.007,5.6897,555.3,2,0.2279,89.99,5192.00,4.489,0.8730,0.8560
"K00152.02",8394721,"Kepler-79 c","CONFIRMED","CANDIDATE",1.0000,27.40229859,133.6284,0.022,6.8491,747.5,3.63,0.1839,89.96,6198.00,4.237,1.3240,1.1010
"K00152.01",8394721,"Kepler-79 d","CONFIRMED","CANDIDATE",0.9940,52.09081627,158.744665,0.065,8.6388,2894.1,7.14,0.2822,89.92,6198.00,4.237,1.3240,1.1010
"K00246.02",11295426,"Kepler-68 c","CONFIRMED","CANDIDATE",1.0000,9.60505976,136.37863,0.54,3.0063,55,0.91,0.0883,88.51,5790.00,4.279,1.1980,0.9970
"K00094.04",6462863,"Kepler-89 b","CONFIRMED","CANDIDATE",0.9990,3.743166733,131.61967,0.008,3.6888,126.3,1.5,0.0488,89.94,6181.00,4.234,1.3310,1.1060
"K00094.02",6462863,"Kepler-89 c","CONFIRMED","CANDIDATE",1.0000,10.423677439,138.009041,0.005,5.2257,777.3,3.72,0.0967,89.98,6181.00,4.234,1.3310,1.1060
"K00082.05",10187017,"Kepler-102 b","CONFIRMED","CANDIDATE",1.0000,5.28691996,135.85427,0.705,2.579,41.5,0.51,0.0552,86.41,4900.00,4.602,0.7410,0.8060
"K00082.04",10187017,"Kepler-102 c","CONFIRMED","CANDIDATE",1.0000,7.07136119,139.98763,0.658,2.757,65.7,0.63,0.067,87.48,4900.00,4.602,0.7410,0.8060
"K00094.01",6462863,"Kepler-89 d","CONFIRMED","CANDIDATE",0.9940,22.342964828,132.741641,0.031,6.66405,5612.8,9.99,0.1607,89.93,6181.00,4.234,1.3310,1.1060
"K00082.02",10187017,"Kepler-102 d","CONFIRMED","CANDIDATE",1.0000,10.31174786,134.07991,0.747,3.1818,275.9,1.34,0.0862,87.5,4900.00,4.602,0.7410,0.8060
"K00082.01",10187017,"Kepler-102 e","CONFIRMED","CANDIDATE",1.0000,16.145671932,134.754877,0.75,3.7236,941.1,2.48,0.1162,88.17,4900.00,4.602,0.7410,0.8060
"K00082.03",10187017,"Kepler-102 f","CONFIRMED","CANDIDATE",1.0000,27.4536146,145.02866,0.765,3.747,136.4,0.95,0.1655,88.82,4900.00,4.602,0.7410,0.8060
"K00701.05",9002278,"Kepler-62 c","CONFIRMED","CANDIDATE",0.9890,12.4418003,134.6507,0.043,3.572,78.4,0.57,0.0942,89.91,4926.00,4.653,0.6620,0.7270
"K00701.01",9002278,"Kepler-62 d","CONFIRMED","CANDIDATE",1.0000,18.16407304,180.812425,0.021,2.9355,943.2,1.98,0.1212,89.97,4926.00,4.653,0.6620,0.7270
"K00152.04",8394721,"Kepler-79 e","CONFIRMED","CANDIDATE",0.9760,81.0637895,139.53492,0.584,3.001,476,3.01,0.379,89.81,6198.00,4.237,1.3240,1.1010
"K00094.03",6462863,"Kepler-89 e","CONFIRMED","CANDIDATE",0.9530,54.31996151,161.239869,0.497,8.5858,1975,6.07,0.2906,89.36,6181.00,4.234,1.3310,1.1060
"K00701.03",9002278,"Kepler-62 e","CONFIRMED","CANDIDATE",0.9940,122.3858681,150.41158,0.101,7.123,711.1,1.72,0.4324,89.96,4926.00,4.653,0.6620,0.7270
"K00245.03",8478994,"Kepler-37 b","CONFIRMED","CANDIDATE",,13.3669309,184.0734,0.4064,3.733,12.2,0.27,0.1025,88.81,5417.00,4.567,0.7720,0.8030
"K00245.02",8478994,"Kepler-37 c","CONFIRMED","CANDIDATE",1.0000,21.30181863,191.84136,0.086,3.8763,87.3,0.72,0.1413,89.88,5437.00,4.571,0.7810,0.8290
